,time,volume,Timestamp,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow,close,open,high,low,BarIndex,Signal_Final
1970-01-01 00:00:00.000000800,1749960300,2.73421,2025-06-15 04:05:00,0,0,False,False,black,False,False,105488.41500000001,105490.12643810114,105490.12643810114,105488.41,24.0,0
1970-01-01 00:00:00.000000801,1749960600,5.4511,2025-06-15 04:10:00,0,0,False,False,black,False,False,105499.49750000001,105489.27071905058,105510.59,105488.41,25.0,0
1970-01-01 00:00:00.000000802,1749960900,4.20399,2025-06-15 04:15:00,0,0,False,False,black,False,False,105506.98749999999,105494.3841095253,105515.19,105494.3841095253,26.0,0
1970-01-01 00:00:00.000000803,1749961200,10.74032,2025-06-15 04:20:00,0,0,False,False,black,False,False,105501.025,105500.68580476264,105505.97,105491.08,27.0,0
1970-01-01 00:00:00.000000804,1749961500,0.91734,2025-06-15 04:25:00,0,0,False,False,black,False,False,105505.975,105500.85540238132,105505.98,105500.85540238132,28.0,0
1970-01-01 00:00:00.000000805,1749961800,4.13449,2025-06-15 04:30:00,0,0,False,False,black,False,False,105505.9775,105503.41520119066,105505.98,105503.41520119066,29.0,0
1970-01-01 00:00:00.000000806,1749962100,9.37426,2025-06-15 04:35:00,0,0,False,False,black,False,False,105506.3725,105504.69635059533,105514.77,105494.86,30.0,0
1970-01-01 00:00:00.000000807,1749962400,23.4513,2025-06-15 04:40:00,0,0,False,False,black,False,False,105504.6925,105505.53442529766,105520.49,105480.01,31.0,0
1970-01-01 00:00:00.000000808,1749962700,12.72819,2025-06-15 04:45:00,0,0,False,False,green,False,False,105535.70749999999,105505.11346264883,105563.04,105505.11346264883,32.0,0
1970-01-01 00:00:00.000000809,1749963000,5.46278,2025-06-15 04:50:00,1,0,False,False,green,False,False,105558.0775,105520.41048132442,105563.04,105520.41048132442,33.0,0
1970-01-01 00:00:00.000000810,1749963300,14.00996,2025-06-15 04:55:00,0,0,False,False,green,False,False,105553.905,105539.24399066222,105559.69,105539.24399066222,34.0,0
1970-01-01 00:00:00.000000811,1749963600,4.48444,2025-06-15 05:00:00,0,0,False,False,green,False,False,105552.9425,105546.57449533111,105559.69,105546.19,35.0,0
1970-01-01 00:00:00.000000812,1749963900,12.70377,2025-06-15 05:05:00,0,0,False,False,green,False,False,105538.5875,105549.75849766555,105549.75849766555,105530.97,36.0,0
1970-01-01 00:00:00.000000813,1749964200,9.18733,2025-06-15 05:10:00,0,0,False,False,green,False,False,105536.65500000001,105544.17299883277,105544.17299883277,105530.97,37.0,0
1970-01-01 00:00:00.000000814,1749964500,6.48518,2025-06-15 05:15:00,0,0,False,False,black,False,False,105524.17250000002,105540.4139994164,105540.7,105507.65,38.0,0
1970-01-01 00:00:00.000000815,1749964800,9.07495,2025-06-15 05:20:00,0,0,False,False,black,False,False,105510.1525,105532.29324970821,105532.29324970821,105507.65,39.0,0
1970-01-01 00:00:00.000000816,1749965100,23.40464,2025-06-15 05:25:00,0,0,False,False,green,True,False,105587.20999999999,105521.22287485411,105661.77,105512.65,40.0,0
1970-01-01 00:00:00.000000817,1749965400,23.46556,2025-06-15 05:30:00,0,0,False,False,green,False,False,105696.2375,105554.21643742705,105730.72,105554.21643742705,1.0,0
1970-01-01 00:00:00.000000818,1749965700,30.47356,2025-06-15 05:35:00,0,0,False,False,green,False,False,105768.96250000001,105625.22696871353,105812.95,105625.22696871353,1.0,0
1970-01-01 00:00:00.000000819,1749966000,12.65817,2025-06-15 05:40:00,0,0,False,False,green,False,False,105814.16750000001,105697.09473435677,105821.88,105697.09473435677,1.0,0
1970-01-01 00:00:00.000000820,1749966300,86.63004,2025-06-15 05:45:00,0,0,False,False,green,False,False,105902.28,105755.63111717839,105982.69,105755.63111717839,1.0,0
1970-01-01 00:00:00.000000821,1749966600,13.48421,2025-06-15 05:50:00,0,0,False,False,green,False,False,105968.315,105828.9555585892,105982.69,105828.9555585892,1.0,0
1970-01-01 00:00:00.000000822,1749966900,57.9818,2025-06-15 05:55:00,0,0,False,False,green,True,False,106020.7225,105898.6352792946,106100.0,105898.6352792946,2.0,0
1970-01-01 00:00:00.000000823,1749967200,46.14721,2025-06-15 06:00:00,0,0,False,False,black,False,False,106014.7425,105959.6788896473,106128.57,105926.47,1.0,0
1970-01-01 00:00:00.000000824,1749967500,33.5362,2025-06-15 06:05:00,0,0,False,True,black,False,True,105876.78,105987.21069482365,105987.21069482365,105815.88,2.0,-1
1970-01-01 00:00:00.000000825,1749967800,43.49721,2025-06-15 06:10:00,0,1,False,False,black,False,False,105817.8225,105931.99534741182,105931.99534741182,105780.0,1.0,-2
1970-01-01 00:00:00.000000826,1749968100,137.78691,2025-06-15 06:15:00,0,0,False,False,black,False,False,105829.91,105874.90892370591,105911.08,105800.0,2.0,0
1970-01-01 00:00:00.000000827,1749968400,109.35315,2025-06-15 06:20:00,0,0,False,False,black,False,True,105719.79500000001,105852.40946185295,105852.40946185295,105602.02,3.0,0
1970-01-01 00:00:00.000000828,1749968700,57.79542,2025-06-15 06:25:00,0,0,False,False,red,False,False,105613.58,105786.10223092648,105786.10223092648,105550.0,1.0,0
1970-01-01 00:00:00.000000829,1749969000,68.4726,2025-06-15 06:30:00,0,0,False,False,red,False,True,105488.16750000001,105699.84111546323,105699.84111546323,105426.33,2.0,-1
1970-01-01 00:00:00.000000830,1749969300,129.33268,2025-06-15 06:35:00,0,0,False,False,red,False,False,105469.275,105594.00430773162,105594.00430773162,105410.43,1.0,0
1970-01-01 00:00:00.000000831,1749969600,16.8975,2025-06-15 06:40:00,0,0,False,False,red,False,False,105514.4975,105531.6396538658,105531.6396538658,105504.96,2.0,0
1970-01-01 00:00:00.000000832,1749969900,16.72748,2025-06-15 06:45:00,0,0,False,False,red,False,False,105492.945,105523.0685769329,105523.0685769329,105441.18,3.0,0
1970-01-01 00:00:00.000000833,1749970200,10.28559,2025-06-15 06:50:00,0,0,False,False,red,False,False,105480.01,105508.00678846645,105508.00678846645,105463.62,4.0,0
1970-01-01 00:00:00.000000834,1749970500,20.65488,2025-06-15 06:55:00,0,0,False,False,red,False,False,105452.135,105494.00839423321,105494.00839423321,105430.59,5.0,0
1970-01-01 00:00:00.000000835,1749970800,7.64696,2025-06-15 07:00:00,0,0,False,False,red,False,False,105441.8075,105473.0716971166,105473.0716971166,105440.69,6.0,0
1970-01-01 00:00:00.000000836,1749971100,44.38603,2025-06-15 07:05:00,0,0,False,False,red,False,True,105375.875,105457.4395985583,105457.4395985583,105308.82,7.0,0
1970-01-01 00:00:00.000000837,1749971400,65.14621,2025-06-15 07:10:00,0,0,False,False,red,False,False,105343.57250000001,105416.65729927915,105437.1,105200.0,1.0,0
1970-01-01 00:00:00.000000838,1749971700,15.6373,2025-06-15 07:15:00,0,0,True,False,red,False,False,105395.9175,105380.11489963958,105428.35,105359.53,2.0,0
1970-01-01 00:00:00.000000839,1749972000,15.17216,2025-06-15 07:20:00,0,0,False,False,red,False,False,105352.685,105388.01619981979,105390.98,105326.16,3.0,0
1970-01-01 00:00:00.000000840,1749972300,20.89493,2025-06-15 07:25:00,0,0,False,False,red,False,True,105295.5275,105370.3505999099,105370.3505999099,105246.96,4.0,0
1970-01-01 00:00:00.000000841,1749972600,25.63327,2025-06-15 07:30:00,0,0,False,False,red,False,False,105271.20250000001,105332.93904995495,105332.93904995495,105210.59,1.0,0
1970-01-01 00:00:00.000000842,1749972900,39.40931,2025-06-15 07:35:00,0,0,True,False,black,False,False,105344.80000000002,105302.07077497747,105429.32,105289.39,2.0,0
1970-01-01 00:00:00.000000843,1749973200,14.32508,2025-06-15 07:40:00,0,0,False,False,black,True,False,105374.35500000001,105323.43538748875,105406.31,105323.43538748875,3.0,1
1970-01-01 00:00:00.000000844,1749973500,24.13987,2025-06-15 07:45:00,0,0,False,False,black,False,False,105386.94750000001,105348.89519374438,105436.12,105346.66,1.0,0
1970-01-01 00:00:00.000000845,1749973800,13.34127,2025-06-15 07:50:00,0,0,False,False,black,True,False,105429.22750000001,105367.9213468722,105453.46,105367.9213468722,2.0,0
1970-01-01 00:00:00.000000846,1749974100,14.29889,2025-06-15 07:55:00,0,0,False,False,black,False,False,105440.72750000001,105398.5744234361,105453.46,105398.5744234361,1.0,0
1970-01-01 00:00:00.000000847,1749974400,18.91157,2025-06-15 08:00:00,0,0,False,False,green,False,False,105426.1275,105419.65096171806,105482.4,105397.05,2.0,0
1970-01-01 00:00:00.000000848,1749974700,26.47692,2025-06-15 08:05:00,0,0,False,False,black,False,True,105344.4475,105422.88923085903,105422.88923085903,105268.38,3.0,-1
