,time,volume,Timestamp,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow,close,open,high,low,BarIndex,Signal_Final
1970-01-01 00:00:00.000000400,1750157760,18.12763,2025-06-17 10:56:00,0,0,False,False,black,False,False,105899.15250000001,105855.87812570225,105931.83,105855.87812570225,18.0,0
1970-01-01 00:00:00.000000401,1750157820,4.4246,2025-06-17 10:57:00,0,0,False,False,black,False,False,105924.7475,105877.51531285113,105928.17,105877.51531285113,19.0,0
1970-01-01 00:00:00.000000402,1750157880,11.76104,2025-06-17 10:58:00,1,0,False,False,black,True,False,105935.7925,105901.13140642556,105956.66,105901.13140642556,20.0,2
1970-01-01 00:00:00.000000403,1750157940,15.25392,2025-06-17 10:59:00,0,0,False,False,black,False,False,105952.41750000001,105918.46195321277,105964.1,105918.46195321277,1.0,0
1970-01-01 00:00:00.000000404,1750158000,16.11742,2025-06-17 11:00:00,0,0,False,False,black,False,False,105932.29749999999,105935.43972660639,105956.01,105904.07,2.0,0
1970-01-01 00:00:00.000000405,1750158060,3.86502,2025-06-17 11:01:00,0,0,False,False,black,False,False,105911.595,105933.86861330319,105933.86861330319,105906.04,3.0,0
1970-01-01 00:00:00.000000406,1750158120,4.52846,2025-06-17 11:02:00,0,0,False,False,black,False,True,105892.47750000001,105922.7318066516,105922.7318066516,105878.62,4.0,0
1970-01-01 00:00:00.000000407,1750158180,4.82868,2025-06-17 11:03:00,0,0,False,False,black,False,False,105858.07,105907.6046533258,105907.6046533258,105837.51,1.0,0
1970-01-01 00:00:00.000000408,1750158240,10.0721,2025-06-17 11:04:00,0,1,False,False,black,False,False,105800.615,105882.8373266629,105882.8373266629,105763.71,1.0,0
1970-01-01 00:00:00.000000409,1750158300,23.73308,2025-06-17 11:05:00,0,0,False,False,black,False,False,105763.88,105841.72616333145,105841.72616333145,105704.32,1.0,0
1970-01-01 00:00:00.000000410,1750158360,8.9953,2025-06-17 11:06:00,0,0,False,False,black,False,False,105810.5575,105802.80308166573,105827.63,105793.74,2.0,0
1970-01-01 00:00:00.000000411,1750158420,11.38524,2025-06-17 11:07:00,0,0,False,False,black,False,False,105805.105,105806.68029083285,105827.12,105779.61,3.0,0
1970-01-01 00:00:00.000000412,1750158480,5.87639,2025-06-17 11:08:00,0,0,False,False,black,False,False,105773.67499999999,105805.89264541643,105809.92,105749.1,4.0,0
1970-01-01 00:00:00.000000413,1750158540,8.32777,2025-06-17 11:09:00,0,0,False,False,black,False,True,105758.305,105789.78382270821,105789.78382270821,105733.85,5.0,0
1970-01-01 00:00:00.000000414,1750158600,5.19779,2025-06-17 11:10:00,0,0,False,False,black,False,False,105765.9975,105774.0444113541,105774.0444113541,105758.0,1.0,0
1970-01-01 00:00:00.000000415,1750158660,6.30707,2025-06-17 11:11:00,0,0,False,False,red,False,False,105754.82999999999,105770.02095567706,105770.02095567706,105746.37,2.0,0
1970-01-01 00:00:00.000000416,1750158720,13.63838,2025-06-17 11:12:00,0,0,False,False,black,False,False,105769.3375,105762.42547783852,105786.63,105756.9,3.0,0
1970-01-01 00:00:00.000000417,1750158780,7.55074,2025-06-17 11:13:00,0,0,False,False,red,False,False,105744.785,105765.88148891926,105776.93,105712.64,4.0,0
1970-01-01 00:00:00.000000418,1750158840,4.528,2025-06-17 11:14:00,0,0,False,False,red,False,True,105720.01000000001,105755.33324445963,105755.33324445963,105712.64,5.0,-1
1970-01-01 00:00:00.000000419,1750158900,21.42139,2025-06-17 11:15:00,0,0,False,False,red,False,False,105730.22,105737.67162222983,105757.81,105682.5,1.0,0
1970-01-01 00:00:00.000000420,1750158960,10.71305,2025-06-17 11:16:00,0,0,False,False,red,False,False,105724.9325,105733.94581111491,105769.4,105686.26,2.0,0
1970-01-01 00:00:00.000000421,1750159020,18.60343,2025-06-17 11:17:00,0,0,False,False,red,False,True,105692.53749999999,105729.43915555745,105729.43915555745,105680.93,3.0,0
1970-01-01 00:00:00.000000422,1750159080,8.91215,2025-06-17 11:18:00,0,0,False,False,red,False,False,105687.2375,105710.98832777873,105710.98832777873,105672.0,1.0,0
1970-01-01 00:00:00.000000423,1750159140,14.37528,2025-06-17 11:19:00,0,0,False,False,red,False,True,105658.1925,105699.11291388937,105699.11291388937,105640.0,2.0,0
1970-01-01 00:00:00.000000424,1750159200,34.8094,2025-06-17 11:20:00,0,0,False,False,red,False,False,105641.89,105678.65270694469,105678.65270694469,105620.0,1.0,0
1970-01-01 00:00:00.000000425,1750159260,3.68007,2025-06-17 11:21:00,0,0,False,False,red,False,False,105652.455,105660.27135347234,105665.94,105643.19,2.0,0
1970-01-01 00:00:00.000000426,1750159320,8.15968,2025-06-17 11:22:00,0,0,False,False,red,False,False,105651.58249999999,105656.36317673617,105657.5,105642.04,3.0,0
1970-01-01 00:00:00.000000427,1750159380,3.76766,2025-06-17 11:23:00,0,0,False,False,red,False,True,105625.13249999999,105653.97283836808,105653.97283836808,105600.97,4.0,0
1970-01-01 00:00:00.000000428,1750159440,8.01235,2025-06-17 11:24:00,0,0,False,False,red,False,False,105591.92,105639.55266918404,105639.55266918404,105582.86,1.0,0
1970-01-01 00:00:00.000000429,1750159500,11.04183,2025-06-17 11:25:00,0,0,False,False,red,False,False,105595.285,105615.73633459202,105616.07,105582.18,1.0,0
1970-01-01 00:00:00.000000430,1750159560,3.6262,2025-06-17 11:26:00,0,0,False,False,red,False,False,105588.69,105605.51066729601,105605.51066729601,105577.36,2.0,0
1970-01-01 00:00:00.000000431,1750159620,20.86711,2025-06-17 11:27:00,0,0,False,False,red,False,True,105562.10999999999,105597.100333648,105597.100333648,105533.72,3.0,0
1970-01-01 00:00:00.000000432,1750159680,3.97077,2025-06-17 11:28:00,0,0,False,False,red,False,False,105547.39749999999,105579.605166824,105579.605166824,105534.79,1.0,0
1970-01-01 00:00:00.000000433,1750159740,16.87518,2025-06-17 11:29:00,0,0,False,False,red,False,False,105544.4825,105563.50133341199,105563.50133341199,105534.79,2.0,0
1970-01-01 00:00:00.000000434,1750159800,20.67222,2025-06-17 11:30:00,0,0,True,False,black,False,False,105594.435,105553.991916706,105651.64,105535.92,3.0,0
1970-01-01 00:00:00.000000435,1750159860,15.42734,2025-06-17 11:31:00,0,0,False,False,black,True,False,105631.72999999998,105574.213458353,105652.22,105574.213458353,4.0,1
1970-01-01 00:00:00.000000436,1750159920,7.58491,2025-06-17 11:32:00,0,0,False,False,black,False,False,105635.1025,105602.9717291765,105666.0,105602.9717291765,1.0,0
1970-01-01 00:00:00.000000437,1750159980,5.12632,2025-06-17 11:33:00,0,0,False,False,black,False,False,105648.155,105619.03711458825,105656.64,105619.03711458825,2.0,0
1970-01-01 00:00:00.000000438,1750160040,2.47805,2025-06-17 11:34:00,0,0,False,False,black,False,False,105639.9475,105633.59605729413,105656.65,105626.56,3.0,0
1970-01-01 00:00:00.000000439,1750160100,3.74369,2025-06-17 11:35:00,0,0,False,False,black,False,False,105627.0175,105636.77177864706,105636.77177864706,105619.35,4.0,0
1970-01-01 00:00:00.000000440,1750160160,7.29426,2025-06-17 11:36:00,0,0,False,False,black,False,False,105611.065,105631.89463932352,105631.89463932352,105588.19,5.0,0
1970-01-01 00:00:00.000000441,1750160220,6.74864,2025-06-17 11:37:00,0,0,False,False,black,False,False,105604.5975,105621.47981966176,105621.47981966176,105593.91,6.0,0
1970-01-01 00:00:00.000000442,1750160280,5.46659,2025-06-17 11:38:00,0,0,False,False,black,False,False,105606.9925,105613.03865983088,105613.03865983088,105591.43,7.0,0
1970-01-01 00:00:00.000000443,1750160340,7.66507,2025-06-17 11:39:00,0,0,False,False,black,False,False,105603.78499999999,105610.01557991543,105658.3,105572.79,8.0,0
1970-01-01 00:00:00.000000444,1750160400,11.78365,2025-06-17 11:40:00,0,0,False,False,black,False,True,105543.255,105606.9002899577,105606.9002899577,105508.23,9.0,0
1970-01-01 00:00:00.000000445,1750160460,8.26613,2025-06-17 11:41:00,0,0,False,False,black,False,False,105533.32749999998,105575.07764497885,105575.07764497885,105512.06,1.0,0
1970-01-01 00:00:00.000000446,1750160520,3.01649,2025-06-17 11:42:00,0,0,True,False,black,False,False,105550.77750000001,105554.20257248942,105579.07,105537.2,2.0,0
1970-01-01 00:00:00.000000447,1750160580,4.38023,2025-06-17 11:43:00,0,0,False,False,black,False,False,105543.41500000001,105552.49003624471,105558.0,105537.2,3.0,0
1970-01-01 00:00:00.000000448,1750160640,2.77885,2025-06-17 11:44:00,0,0,False,False,black,False,False,105534.09,105547.95251812236,105547.95251812236,105526.92,4.0,0
1970-01-01 00:00:00.000000449,1750160700,3.16173,2025-06-17 11:45:00,0,0,False,False,red,False,False,105522.3375,105541.02125906118,105541.02125906118,105517.75,5.0,0
1970-01-01 00:00:00.000000450,1750160760,2.82179,2025-06-17 11:46:00,0,0,False,False,red,False,False,105514.70499999999,105531.67937953059,105531.67937953059,105511.65,6.0,0
1970-01-01 00:00:00.000000451,1750160820,10.40803,2025-06-17 11:47:00,0,0,True,False,red,False,False,105528.0525,105523.19218976528,105544.45,105511.66,7.0,0
1970-01-01 00:00:00.000000452,1750160880,4.94925,2025-06-17 11:48:00,0,0,False,False,green,False,False,105557.35,105525.62234488263,105570.26,105525.62234488263,8.0,0
1970-01-01 00:00:00.000000453,1750160940,2.07369,2025-06-17 11:49:00,0,0,False,False,green,False,False,105565.22750000001,105541.48617244132,105570.26,105541.48617244132,9.0,0
1970-01-01 00:00:00.000000454,1750161000,6.39032,2025-06-17 11:50:00,0,0,False,False,black,False,False,105545.12,105553.35683622066,105560.39,105529.85,10.0,0
1970-01-01 00:00:00.000000455,1750161060,1.47858,2025-06-17 11:51:00,0,0,False,False,black,False,False,105529.85500000001,105549.23841811033,105549.23841811033,105529.85,11.0,0
1970-01-01 00:00:00.000000456,1750161120,2.4238,2025-06-17 11:52:00,0,0,False,False,red,False,False,105527.14749999999,105539.54670905517,105539.54670905517,105519.22,12.0,0
1970-01-01 00:00:00.000000457,1750161180,6.3451,2025-06-17 11:53:00,0,0,False,False,red,False,False,105526.67749999999,105533.34710452758,105538.61,105519.22,13.0,0
1970-01-01 00:00:00.000000458,1750161240,9.96874,2025-06-17 11:54:00,0,0,False,False,green,False,False,105539.755,105530.01230226379,105576.85,105508.23,14.0,0
1970-01-01 00:00:00.000000459,1750161300,6.76137,2025-06-17 11:55:00,0,0,False,False,green,False,False,105590.2025,105534.8836511319,105625.69,105534.8836511319,15.0,0
1970-01-01 00:00:00.000000460,1750161360,3.31702,2025-06-17 11:56:00,1,0,False,False,green,True,False,105621.08750000001,105562.54307556595,105625.69,105562.54307556595,16.0,2
1970-01-01 00:00:00.000000461,1750161420,10.1237,2025-06-17 11:57:00,0,0,False,False,green,False,False,105641.715,105591.81528778299,105665.98,105591.81528778299,1.0,0
1970-01-01 00:00:00.000000462,1750161480,19.35885,2025-06-17 11:58:00,0,0,False,False,green,False,False,105653.24250000001,105616.76514389149,105656.79,105616.76514389149,1.0,0
1970-01-01 00:00:00.000000463,1750161540,13.54613,2025-06-17 11:59:00,0,0,False,False,green,False,False,105646.01749999999,105635.00382194575,105652.68,105635.00382194575,2.0,0
1970-01-01 00:00:00.000000464,1750161600,14.50107,2025-06-17 12:00:00,0,0,False,False,green,False,False,105614.03,105640.51066097287,105641.48,105573.18,3.0,0
1970-01-01 00:00:00.000000465,1750161660,5.34459,2025-06-17 12:01:00,0,0,False,False,green,False,False,105604.6575,105627.27033048644,105627.27033048644,105599.98,4.0,0
1970-01-01 00:00:00.000000466,1750161720,5.36801,2025-06-17 12:02:00,0,0,False,False,green,False,False,105603.9225,105615.96391524322,105643.94,105585.87,5.0,0
1970-01-01 00:00:00.000000467,1750161780,10.97832,2025-06-17 12:03:00,0,0,False,False,green,False,False,105605.815,105609.9432076216,105625.76,105585.87,6.0,0
1970-01-01 00:00:00.000000468,1750161840,4.28395,2025-06-17 12:04:00,0,0,False,False,green,False,False,105635.48999999999,105607.8791038108,105646.47,105607.8791038108,7.0,0
1970-01-01 00:00:00.000000469,1750161900,5.43152,2025-06-17 12:05:00,0,0,False,False,green,False,False,105622.45000000001,105621.6845519054,105644.0,105600.9,8.0,0
1970-01-01 00:00:00.000000470,1750161960,34.85109,2025-06-17 12:06:00,0,0,False,False,green,False,False,105662.8125,105622.06727595271,105727.44,105600.9,9.0,0
1970-01-01 00:00:00.000000471,1750162020,19.6072,2025-06-17 12:07:00,0,0,False,False,green,True,False,105737.38,105642.43988797636,105767.14,105642.43988797636,10.0,0
1970-01-01 00:00:00.000000472,1750162080,9.85534,2025-06-17 12:08:00,0,0,False,True,green,False,False,105713.6575,105689.90994398818,105739.3,105688.47,1.0,0
1970-01-01 00:00:00.000000473,1750162140,3.63545,2025-06-17 12:09:00,0,0,False,False,green,False,False,105703.145,105701.78372199408,105717.82,105688.47,2.0,0
1970-01-01 00:00:00.000000474,1750162200,8.43045,2025-06-17 12:10:00,0,0,False,False,green,False,False,105748.905,105702.46436099705,105779.99,105702.46436099705,3.0,0
1970-01-01 00:00:00.000000475,1750162260,5.11817,2025-06-17 12:11:00,0,0,False,False,green,True,False,105776.6575,105725.68468049853,105795.36,105725.68468049853,4.0,0
